State,State ID,County,County ID,Population,Poverty Rate
AZ,04,Graham,009,37529.0,19.768712195901834
AZ,04,Greenlee,011,9224.0,13.183000867302688
AZ,04,La Paz,012,20304.0,20.89736012608353
AZ,04,Maricopa,013,4088549.0,16.301944773072304
AZ,04,Mohave,015,203629.0,18.604422749215484
AZ,04,Navajo,017,108209.0,29.179643098078717
AZ,04,Pima,019,1003338.0,18.567920282098356
AZ,04,Pinal,021,397604.0,15.450045774187382
AZ,04,Santa Cruz,023,46547.0,21.661976067200893
AZ,04,Yavapai,025,218586.0,14.416293815706403
AZ,04,Yuma,027,203292.0,19.838458965429037
AR,05,Arkansas,001,18569.0,19.317141472346385
AR,05,Ashley,003,20989.0,19.681738053265995
AR,05,Baxter,005,40992.0,13.66120218579235
AR,05,Benton,007,245231.0,11.239198959348533
AR,05,Boone,009,37301.0,17.181844990750918
AR,05,Bradley,011,11096.0,28.505767844268206
AR,05,Calhoun,013,5210.0,18.598848368522074
AR,05,Union,139,40334.0,20.379828432587892
AR,05,Van Buren,141,16892.0,18.257163154155812
AR,05,Washington,143,219930.0,18.311280862092485
AR,05,White,145,78823.0,16.747649797647895
AR,05,Woodruff,147,6873.0,23.59959260875891
AR,05,Yell,149,21716.0,17.21311475409836
CA,06,Alameda,001,1605217.0,11.810864200914892
CA,06,Alpine,003,1184.0,18.66554054054054
CA,06,Amador,005,36963.0,9.966723480236993
CA,06,Butte,007,223877.0,20.750680060926314
CA,06,Calaveras,009,44787.0,12.595172706365686
CA,06,Colusa,011,21361.0,13.384204859323065
CA,06,Contra Costa,013,1107925.0,10.101947333980188
CA,06,Del Norte,015,27628.0,18.89025626176343
CA,06,El Dorado,017,183000.0,9.748087431693989
CA,06,Fresno,019,963160.0,26.462062378005733
CA,06,Glenn,021,27976.0,19.93851873034029
CA,06,Humboldt,023,135182.0,20.447248894083533
CA,06,Imperial,025,178807.0,22.679201597252906
CA,06,Inyo,027,18326.0,10.395067117756193
CA,06,Kern,029,871337.0,22.30526191358797
CA,06,Kings,031,150261.0,19.074144322212682
CA,06,Lake,033,64076.0,24.28522379674137
CA,06,Lassen,035,31945.0,11.137893254030365
CA,06,Los Angeles,037,10057155.0,17.54055694677073
CA,06,Madera,039,153366.0,20.893157544697
CA,06,Marin,041,259358.0,7.882926302639595
CA,06,Mariposa,043,17645.0,16.146217058656845
CA,06,Mendocino,045,87409.0,19.867519362994656
CA,06,Merced,047,265001.0,23.645571148788118
CA,06,Modoc,049,9033.0,16.417579984501273
CA,06,Mono,051,14051.0,8.696889901074657
CA,06,Monterey,053,430201.0,15.408843773027026
CA,06,Napa,055,140823.0,8.582404862842008
CA,06,Nevada,057,98639.0,11.998296819716339
CA,06,Orange,059,3132211.0,12.309387841368286
CA,06,Placer,061,370571.0,8.616972186166754
CA,06,Plumas,063,18754.0,12.509331342646902
CA,06,Riverside,065,2323892.0,16.20940215810373
CA,06,Sacramento,067,1479300.0,17.63516528087609
