id,Geographic Area Name,Total_population_18_24,Total_18_24_lt_high_school,Total_18_24_high_school_diploma,Total_18_24_associate_degree,Total_18_24_bachelor,Total_population_25_and_over,Total_population_25_lt_9th,Total_25_9_12_no_diploma,Total_25_high_School,Total_population_25_college_no_degree,Total_population_25_associate_degree,Total_population_25 _bachelor,Total_population_25_graduate,Total_25_over_High_school,Total_population_25years_and_over_Bachelor,Total_population_25_34,Total_25_34_High_school,Total_25_34_Bachelor_higher,Total_population_35_44,Total_35_44_high_school_graduate,Total_35_44_bachelor_degree,Total_population_45_64_years,Total_45_64_high_school,Total_45_64_bachelor_degree,Total_population_65_years_over,Total_65_high_school,Total_65_bachelor_degree
310M400US47700,"Warsaw, IN Micro Area",7307,1207,2582,2966,552,52331,2974,4621,18426,10466,3965,7540,4339,44736,11879,9980,8469,2662,9161,7905,2340,20747,17881,4308,12443,10481,2569
310M400US47780,"Washington, IN Micro Area",2906,1035,917,858,96,20396,3031,2434,6886,2880,2357,1857,951,14931,2808,4022,2400,567,3591,2443,660,7836,6384,1053,4947,3704,528
310M400US47820,"Washington, NC Micro Area",3772,816,1326,1397,233,33712,1298,2890,11331,7812,3848,4141,2392,29524,6533,4488,3904,733,5131,4603,998,13285,11758,2191,10808,9259,2611
310M400US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",542196,62911,149241,228699,101345,4175842,194443,192126,758687,677189,242256,1072157,1038984,3789273,2111141,930345,859448,503920,881340,796715,481475,1611728,1474865,795167,752429,658245,330579
310M400US47920,"Washington Court House, OH Micro Area",2241,426,937,676,202,19555,569,2144,9238,3209,1241,2220,934,16842,3154,3366,3161,716,3555,3048,691,7776,6669,1077,4858,3964,670
310M400US47940,"Waterloo-Cedar Falls, IA Metro Area",24274,1792,4535,15625,2322,108635,3130,5263,33203,22347,13359,21108,10225,100242,31333,21199,19751,7676,19108,17918,6873,40445,37572,10552,27883,25001,6232
310M400US47980,"Watertown, SD Micro Area",2329,213,803,1123,190,18952,586,929,6971,3796,2585,3198,887,17437,4085,3633,3402,893,3270,3091,877,7433,6986,1458,4616,3958,857
310M400US48020,"Watertown-Fort Atkinson, WI Micro Area",8211,493,3019,3946,753,58070,1686,3245,19603,12370,6749,10081,4336,53139,14417,9833,9257,2889,10507,9805,3317,24260,22427,5741,13470,11650,2470
310M400US48060,"Watertown-Fort Drum, NY Metro Area",14302,1155,6757,5411,979,72369,1845,4612,24590,16124,9083,9305,6810,65912,16115,19655,18470,4793,13294,12371,3467,24801,22538,5013,14619,12533,2842
310M400US48100,"Wauchula, FL Micro Area",2687,885,1109,670,23,17323,2363,1835,8304,2292,727,1232,570,13125,1802,3672,2985,251,3226,2220,233,6219,4539,752,4206,3381,566
310M400US48140,"Wausau, WI Metro Area",10802,1195,4053,4361,1193,93192,3417,4342,32128,16950,12514,16255,7586,85433,23841,16046,15205,5362,16479,15675,5113,38159,35289,9207,22508,19264,4159
